"start" "end" "width" "strand" "gene"
"262" 263285 264634 1350 "+" "SCO0273"
"263" 264764 266263 1500 "+" "SCO0274"
"264" 266356 267513 1158 "+" "SCO0275"
"265" 267585 268838 1254 "+" "SCO0276"
"266" 269020 269688 669 "-" "SCO0277"
"267" 269783 270397 615 "+" "SCO0278"
"268" 270477 271748 1272 "+" "SCO0279"
"269" 271768 272469 702 "-" "SCO0280"
"270" 272466 272834 369 "-" "SCO0281"
"271" 272892 273656 765 "+" "SCO0282"
"272" 274101 274595 495 "-" "SCO0283"
"273" 274763 276805 2043 "+" "SCO0284"
"274" 276938 278827 1890 "+" "SCO0285"
"275" 278910 279416 507 "-" "SCO0286"
"276" 279691 280695 1005 "+" "SCO0287"
"277" 280692 281132 441 "-" "SCO0288"
"278" 281129 282157 1029 "-" "SCO0289"
"279" 282491 283801 1311 "+" "SCO0290"
"280" 283798 284700 903 "+" "SCO0291"
"281" 284702 285598 897 "+" "SCO0292"
"282" 285714 288104 2391 "+" "SCO0293"
"283" 288187 288840 654 "-" "SCO0294"
"284" 288987 290456 1470 "-" "SCO0295"
"285" 290584 291165 582 "+" "SCO0296"
"286" 291315 292592 1278 "+" "SCO0297"
"287" 292656 293519 864 "-" "SCO0298"
"288" 293613 294497 885 "+" "SCO0299"
"289" 294494 296305 1812 "-" "SCO0300"
"290" 296471 297499 1029 "+" "SCO0301"
"291" 297515 298108 594 "-" "SCO0302"
"292" 298105 298311 207 "-" "SCO0303"
"293" 298468 298836 369 "-" "SCO0304"
"294" 299213 302092 2880 "+" "SCO0305"
"295" 302056 302961 906 "-" "SCO0306"
"296" 303084 303971 888 "+" "SCO0307"
"297" 304026 305429 1404 "+" "SCO0308"
"298" 305537 306625 1089 "-" "SCO0309"
"299" 306816 307466 651 "-" "SCO0310"
"300" 307575 309131 1557 "+" "SCO0311"
"301" 309147 310316 1170 "+" "SCO0312"
"302" 310378 311727 1350 "+" "SCO0313"
"303" 311724 313670 1947 "+" "SCO0314"
"304" 313697 315055 1359 "-" "SCO0315"
"305" 315254 316921 1668 "-" "SCO0316"
"306" 316975 318237 1263 "-" "SCO0317"
"307" 318329 319345 1017 "-" "SCO0318"
"308" 319499 320008 510 "-" "SCO0319"
"309" 320110 320583 474 "+" "SCO0320"
"310" 320699 322255 1557 "+" "SCO0321"
"311" 322244 323938 1695 "-" "SCO0322"
"312" 324467 325069 603 "-" "SCO0323"
"313" 325238 327616 2379 "-" "SCO0324"
"314" 327899 328264 366 "+" "SCO0325"
"315" 328333 329301 969 "+" "SCO0326"
"316" 329321 330174 854 "+" "SCO0328"
"317" 330235 331365 1131 "+" "SCO0329"
"318" 331504 332253 750 "+" "SCO0330"
"319" 332311 333210 900 "+" "SCO0331"
"320" 333529 334149 621 "+" "SCO0332"
"321" 334223 335734 1512 "-" "SCO0333"
"322" 335948 336292 345 "+" "SCO0334"
"323" 336333 339467 3135 "+" "SCO0335"
"324" 339521 340630 1110 "-" "SCO0336"
"325" 340752 341318 567 "+" "SCO0337"
"326" 341370 341909 540 "-" "SCO0338"
"327" 341992 342561 570 "+" "SCO0339"
"328" 342578 343165 588 "-" "SCO0340"
"329" 343234 345663 2430 "-" "SCO0341"
"330" 345817 347706 1890 "-" "SCO0342"
"331" 347814 348083 270 "+" "SCO0343"
"332" 348137 349381 1245 "+" "SCO0344"
"333" 349419 350201 783 "-" "SCO0345"
"334" 350474 351352 879 "+" "SCO0346"
"335" 351529 352779 1251 "+" "SCO0347"
"336" 352776 353795 1020 "+" "SCO0348"
"337" 353801 354805 1005 "+" "SCO0349"
"338" 354802 355686 885 "+" "SCO0350"
"339" 355683 357158 1476 "+" "SCO0351"
"340" 357209 358477 1269 "+" "SCO0352"
"341" 358481 359392 912 "+" "SCO0353"
"342" 359389 360231 843 "+" "SCO0354"
"343" 360305 360646 342 "+" "SCO0355"
"344" 360674 361465 792 "+" "SCO0356"
"345" 361759 362478 720 "-" "SCO0357"
"346" 362635 363777 1143 "+" "SCO0358"
"347" 363774 364496 723 "+" "SCO0359"
"348" 364559 365551 993 "-" "SCO0360"
"349" 365623 366795 1173 "-" "SCO0361"
"350" 366935 368146 1212 "+" "SCO0362"
"351" 368143 369252 1110 "+" "SCO0363"
"352" 369249 370055 807 "+" "SCO0364"
"353" 370066 370812 747 "+" "SCO0365"
"354" 370809 371876 1068 "+" "SCO0366"
"355" 371921 372478 558 "-" "SCO0367"
"356" 373045 374001 957 "+" "SCO0368"
"357" 373998 377255 3258 "-" "SCO0369"
"358" 377286 380690 3405 "-" "SCO0370"
"359" 380751 383360 2610 "-" "SCO0371"
"360" 383578 386592 3015 "-" "SCO0372"
"361" 386761 387360 600 "-" "SCO0373"
"362" 387750 389519 1770 "+" "SCO0374"
"363" 389531 391123 1593 "-" "SCO0375"
"364" 391232 391834 603 "+" "SCO0376"
"365" 391950 392483 534 "-" "SCO0377"
"366" 392484 393218 735 "-" "SCO0378"
"367" 393498 394961 1464 "+" "SCO0379"
"368" 395065 395460 396 "+" "SCO0380"
"369" 395939 397414 1476 "+" "SCO0381"
"370" 397485 398810 1326 "+" "SCO0382"
"371" 398881 400104 1224 "+" "SCO0383"
"372" 400179 401468 1290 "+" "SCO0384"
"373" 401465 403030 1566 "+" "SCO0385"
"374" 403034 404968 1935 "+" "SCO0386"
"375" 405070 407250 2181 "+" "SCO0387"
"376" 407253 409214 1962 "+" "SCO0388"
"377" 409237 410772 1536 "+" "SCO0389"
"378" 410774 412006 1233 "+" "SCO0390"
"379" 412009 413250 1242 "+" "SCO0391"
"380" 413247 414497 1251 "+" "SCO0392"
"381" 414494 415303 810 "+" "SCO0393"
"382" 415300 415947 648 "+" "SCO0394"
"383" 415951 416976 1026 "+" "SCO0395"
"384" 416973 418247 1275 "+" "SCO0396"
"385" 418253 419542 1290 "+" "SCO0397"
"386" 419539 420486 948 "+" "SCO0398"
"387" 420492 421715 1224 "+" "SCO0399"
"388" 421712 422263 552 "+" "SCO0400"
"389" 422271 423596 1326 "+" "SCO0401"
"390" 423654 424406 753 "-" "SCO0402"
"391" 424609 425226 618 "-" "SCO0403"
"392" 425243 425983 741 "+" "SCO0404"
"393" 426015 426833 819 "-" "SCO0405"
"394" 426893 427606 714 "+" "SCO0406"
"395" 427610 428614 1005 "+" "SCO0407"
"396" 428615 429403 789 "+" "SCO0408"
"397" 429492 429956 465 "-" "SCO0409"
"398" 430071 431321 1251 "-" "SCO0410"
"399" 431327 431551 225 "+" "SCO0411"
"400" 431551 431934 384 "+" "SCO0412"
"401" 431962 432564 603 "-" "SCO0413"
"402" 432617 433513 897 "-" "SCO0414"
"403" 433615 433977 363 "+" "SCO0415"
"404" 433984 434589 606 "-" "SCO0416"
"405" 434651 435397 747 "-" "SCO0417"
"406" 435456 436103 648 "+" "SCO0418"
"407" 436235 437224 990 "+" "SCO0419"
"408" 437253 438287 1035 "-" "SCO0420"
"409" 438329 438988 660 "-" "SCO0421"
"410" 438997 440190 1194 "-" "SCO0422"
"411" 440282 442579 2298 "-" "SCO0423"
"412" 442700 443191 492 "+" "SCO0424"
"413" 443293 444243 951 "-" "SCO0425"
"414" 444441 444671 231 "+" "SCO0426"
"415" 444752 445588 837 "+" "SCO0427"
"416" 445611 446144 534 "+" "SCO0428"
"417" 446214 447161 948 "-" "SCO0429"
"418" 447185 447868 684 "+" "SCO0430"
"419" 447890 449218 1329 "-" "SCO0431"
"420" 449515 453252 3738 "+" "SCO0432"
"421" 453370 454374 1005 "+" "SCO0433"
"422" 454546 456195 1650 "+" "SCO0434"
"423" 456192 457397 1206 "+" "SCO0435"
"424" 457484 457654 171 "+" "SCO0436"
"425" 457670 458695 1026 "-" "SCO0437"
"426" 458695 459345 651 "-" "SCO0438"
"427" 459393 460367 975 "-" "SCO0439"
"428" 460364 461083 720 "-" "SCO0440"
"429" 461350 462102 753 "+" "SCO0441"
"430" 462099 462857 759 "+" "SCO0442"
"431" 462854 463711 858 "+" "SCO0443"
"432" 463698 464099 402 "-" "SCO0444"
"433" 464207 465502 1296 "-" "SCO0445"
"434" 465496 465861 366 "-" "SCO0446"
"435" 465990 466436 447 "+" "SCO0447"
"436" 466504 467909 1406 "+" "SCO0448"
"437" 468153 469232 1080 "+" "SCO0449"
"438" 469315 470304 990 "-" "SCO0450"
"439" 470355 471209 855 "-" "SCO0451"
"440" 471415 472314 900 "+" "SCO0452"
"441" 472458 473747 1290 "+" "SCO0453"
"442" 473848 474789 942 "+" "SCO0454"
"443" 474804 475631 828 "+" "SCO0455"
"444" 475628 476671 1044 "+" "SCO0456"
"445" 476738 478672 1935 "+" "SCO0457"
"446" 478669 480957 2289 "+" "SCO0458"
"447" 481012 481791 780 "+" "SCO0459"
"448" 481810 482319 510 "-" "SCO0460"
"449" 482456 483325 870 "+" "SCO0461"
"450" 483338 484267 930 "-" "SCO0462"
"451" 484318 484932 615 "+" "SCO0463"
"452" 484973 486670 1698 "-" "SCO0464"
"453" 486684 487514 831 "-" "SCO0465"
"454" 487618 488601 984 "+" "SCO0466"
"455" 488614 489357 744 "+" "SCO0467"
"456" 489373 490350 978 "-" "SCO0468"
"457" 490451 490972 522 "+" "SCO0469"
"458" 490983 491891 909 "+" "SCO0470"
"459" 491901 492881 981 "+" "SCO0471"
"460" 493055 494263 1209 "-" "SCO0472"
"461" 494260 495249 990 "-" "SCO0473"
"462" 495246 496493 1248 "-" "SCO0474"
"463" 496508 497359 852 "-" "SCO0475"
"464" 497375 498133 759 "+" "SCO0476"
"465" 498238 498630 393 "+" "SCO0477"
"466" 498683 499807 1125 "-" "SCO0478"
"467" 499952 500776 825 "-" "SCO0479"
"468" 500780 501412 633 "+" "SCO0480"
"469" 501699 502217 519 "+" "SCO0481"
"470" 502342 503076 735 "+" "SCO0482"
"471" 503073 503474 402 "-" "SCO0483"
"472" 503539 504705 1167 "-" "SCO0484"
"473" 504854 505465 612 "+" "SCO0485"
"474" 505447 506670 1224 "-" "SCO0486"
"475" 506842 507348 507 "+" "SCO0487"
"476" 507394 510810 3417 "+" "SCO0488"
"477" 510823 511035 213 "-" "SCO0489"
"478" 511124 512215 1092 "+" "SCO0490"
"479" 512302 513924 1623 "-" "SCO0491"
"480" 513989 524920 10932 "-" "SCO0492"
"481" 524978 526783 1806 "-" "SCO0493"
"482" 526786 527838 1053 "-" "SCO0494"
"483" 527889 528752 864 "-" "SCO0495"
"484" 528791 529897 1107 "-" "SCO0496"
"485" 529894 530970 1077 "-" "SCO0497"
"486" 530970 532325 1356 "-" "SCO0498"
"487" 532501 533448 948 "+" "SCO0499"
"488" 533534 533773 240 "-" "SCO0500"
"489" 533812 535764 1953 "-" "SCO0501"
"490" 535974 536408 435 "+" "SCO0502"
"491" 536532 537512 981 "+" "SCO0503"
"492" 537623 538942 1320 "+" "SCO0504"
"493" 539123 542131 3009 "+" "SCO0505"
"494" 542269 543099 831 "+" "SCO0506"
"495" 543119 543535 417 "-" "SCO0507"
"496" 543545 544087 543 "+" "SCO0508"
"497" 544194 545717 1524 "+" "SCO0509"
"498" 545740 546147 408 "-" "SCO0510"
"499" 546358 547116 759 "+" "SCO0511"
"500" 547135 547743 609 "-" "SCO0512"
"501" 547809 548900 1092 "+" "SCO0513"
"502" 548968 549621 654 "+" "SCO0514"
"503" 549850 550458 609 "+" "SCO0515"
"504" 550455 551633 1179 "+" "SCO0516"
"505" 552403 553140 738 "-" "SCO0519"
"506" 553277 553861 585 "+" "SCO0520"
"507" 553892 554473 582 "+" "SCO0521"
"508" 554649 555440 792 "+" "SCO0522"
"509" 555468 555905 438 "-" "SCO0523"
"510" 555990 556898 909 "+" "SCO0524"
"511" 557029 557844 816 "+" "SCO0525"
"512" 557882 558715 834 "+" "SCO0526"
"513" 558812 559015 204 "-" "SCO0527"
"514" 559346 560098 753 "+" "SCO0528"
"515" 560127 561545 1419 "-" "SCO0529"
"516" 561731 562576 846 "-" "SCO0530"
"517" 562803 564071 1269 "+" "SCO0531"
"518" 564141 565049 909 "+" "SCO0532"
"519" 565046 565903 858 "+" "SCO0533"
"520" 566007 567626 1620 "+" "SCO0534"
"521" 567623 569044 1422 "+" "SCO0535"
"522" 569061 569282 222 "-" "SCO0536"
"523" 569655 570482 828 "+" "SCO0537"
"524" 570520 571848 1329 "+" "SCO0538"
"525" 571863 572813 951 "+" "SCO0539"
"526" 572810 573709 900 "+" "SCO0540"
"527" 573756 575081 1326 "+" "SCO0541"
"528" 575351 577984 2634 "+" "SCO0542"
"529" 578092 579228 1137 "+" "SCO0543"
"530" 579257 580789 1533 "+" "SCO0544"
"531" 580913 583459 2547 "+" "SCO0545"
"532" 583523 586897 3375 "-" "SCO0546"
"533" 586987 587988 1002 "-" "SCO0547"
"534" 587985 589271 1287 "-" "SCO0548"
"535" 589268 589546 279 "-" "SCO0549"
"536" 590017 590895 879 "+" "SCO0550"
"537" 590981 592309 1329 "-" "SCO0551"
"538" 592306 593022 717 "-" "SCO0552"
"539" 593049 593486 438 "-" "SCO0553"
"540" 593641 595338 1698 "-" "SCO0554"
"541" 595484 597079 1596 "-" "SCO0555"
"542" 597132 598655 1524 "-" "SCO0556"
"543" 598747 599769 1023 "+" "SCO0557"
"544" 599712 599978 267 "-" "SCO0558"
"545" 600051 601052 1002 "-" "SCO0559"
"546" 601133 603355 2223 "-" "SCO0560"
"547" 603385 603840 456 "-" "SCO0561"
"548" 603973 605085 1113 "+" "SCO0562"
"549" 605122 606555 1434 "-" "SCO0563"
"550" 606677 607837 1161 "-" "SCO0564"
"551" 607851 608909 1059 "-" "SCO0565"
"552" 608902 609186 285 "-" "SCO0566"
"553" 609517 610356 840 "+" "SCO0567"
"554" 610415 611488 1074 "-" "SCO0568"
"555" 611984 612106 123 "-" "SCO0569"
"556" 612156 612320 165 "-" "SCO0570"
"557" 612426 613754 1329 "-" "SCO0571"
"558" 613751 615151 1401 "-" "SCO0572"
"559" 615154 616107 954 "-" "SCO0573"
"560" 616253 617086 834 "+" "SCO0574"
"561" 617124 617855 732 "+" "SCO0575"
"562" 617913 618788 876 "-" "SCO0576"
"563" 618788 619588 801 "-" "SCO0577"
"564" 619588 620367 780 "-" "SCO0578"
"565" 620367 620879 513 "-" "SCO0579"
"566" 620891 622672 1782 "-" "SCO0580"
"567" 622669 624036 1368 "-" "SCO0581"
"568" 624273 625034 762 "+" "SCO0582"
"569" 625127 626350 1224 "+" "SCO0583"
"570" 626369 627631 1263 "-" "SCO0584"
"571" 627628 628164 537 "-" "SCO0585"
"572" 628247 628588 342 "-" "SCO0586"
"573" 628600 629058 459 "-" "SCO0587"
"574" 629185 630912 1728 "-" "SCO0588"
"575" 631216 632103 888 "-" "SCO0589"
"576" 632180 633049 870 "+" "SCO0590"
"577" 633119 633958 840 "+" "SCO0591"
"578" 633986 634708 723 "-" "SCO0592"
"579" 634879 635706 828 "-" "SCO0593"
"580" 635776 636516 741 "-" "SCO0594"
"581" 636573 637166 594 "+" "SCO0595"
"582" 637261 637824 564 "+" "SCO0596"
"583" 637911 638306 396 "-" "SCO0597"
"584" 638511 638804 294 "+" "SCO0598"
"585" 638801 639730 930 "+" "SCO0599"
"586" 639859 640704 846 "+" "SCO0600"
"587" 640719 641762 1044 "-" "SCO0601"
"588" 642012 643133 1122 "+" "SCO0602"
"589" 643179 643880 702 "+" "SCO0603"
"590" 643926 645101 1176 "-" "SCO0604"
"591" 645297 646232 936 "+" "SCO0605"
"592" 646345 647319 975 "+" "SCO0606"
"593" 647444 647731 288 "+" "SCO0607"
"594" 647887 648765 879 "+" "SCO0608"
"595" 648876 649739 864 "+" "SCO0609"
"596" 649840 650610 771 "+" "SCO0610"
"597" 650624 651388 765 "+" "SCO0611"
"598" 651462 651605 144 "+" "SCO0612"
